id_pdc_itinerance,etat_pdc,occupation_pdc,horodatage,etat_prise_type_2,etat_prise_type_combo_ccs,etat_prise_type_chademo,etat_prise_type_ef
FRALLEGO9005142,en_service,libre,2025-06-06T16:39:28Z,,,,
FRALLEGO9005141,en_service,occupe,2025-06-06T16:37:36Z,,,,
FRALLEGO9000131,en_service,libre,2025-06-06T16:40:09Z,,,,
FRALLEGO9000132,en_service,libre,2025-06-06T15:48:18Z,,,,
FRALLEGO9007592,inconnu,inconnu,2025-02-13T09:41:19Z,,,,
FRALLEGO9007591,inconnu,inconnu,2025-02-13T09:41:20Z,,,,
FRALLEGO9004722,en_service,libre,2025-06-06T16:31:01Z,,,,
FRALLEGO9002161,en_service,occupe,2025-06-06T15:35:23Z,,,,
FRALLEGO9990862,en_service,occupe,2025-06-06T16:42:20Z,,,,
FRALLEGO9007771,hors_service,inconnu,2025-06-05T19:06:00Z,,,,
FRALLEGO9007772,en_service,occupe,2025-06-06T16:13:43Z,,,,
FRALLEGO9001182,en_service,libre,2025-06-06T16:21:24Z,,,,
FRALLEGO9001181,en_service,libre,2025-06-06T15:46:04Z,,,,
FRALLEGO9004723,en_service,libre,2025-06-06T16:42:17Z,,,,
FRALLEGO9004721,en_service,libre,2025-06-06T16:31:06Z,,,,
FRALLEGO9002162,en_service,libre,2025-06-06T16:37:39Z,,,,
FRALLEGO9990861,en_service,libre,2025-06-06T15:38:27Z,,,,
FRALLEGO9005761,en_service,libre,2025-06-06T16:25:41Z,,,,
FRALLEGO9005762,en_service,libre,2025-06-06T16:37:55Z,,,,
FRALLEGO9005991,en_service,libre,2025-06-06T15:17:58Z,,,,
FRALLEGO9005992,en_service,libre,2025-06-06T16:15:35Z,,,,
FRALLEGO9004022,en_service,libre,2025-06-06T11:37:02Z,,,,
FRALLEGO9004021,en_service,libre,2025-06-06T11:18:53Z,,,,
FRALLEGO9003982,en_service,libre,2025-06-06T16:38:29Z,,,,
FRALLEGO9003981,en_service,libre,2025-06-06T16:34:20Z,,,,
FRALLEGO9004102,en_service,libre,2025-06-06T16:12:14Z,,,,
FRALLEGO9004101,en_service,libre,2025-06-06T16:21:10Z,,,,
FRALLEGO9005541,en_service,libre,2025-06-06T16:53:14Z,,,,
FRALLEGO9005542,en_service,occupe,2025-06-06T16:31:22Z,,,,
FRALLEGO9005631,en_service,occupe,2025-06-06T16:05:18Z,,,,
FRALLEGO9005632,en_service,occupe,2025-06-06T16:42:37Z,,,,
FRALLEGO9004111,en_service,occupe,2025-06-06T15:43:03Z,,,,
FRALLEGO9004112,en_service,libre,2025-06-06T16:46:20Z,,,,
FRALLEGO9005331,en_service,occupe,2025-06-06T16:35:15Z,,,,
FRALLEGO9005332,en_service,occupe,2025-06-06T16:52:51Z,,,,
FRALLEGO9003282,en_service,libre,2025-06-06T11:48:17Z,,,,
FRALLEGO9003281,en_service,libre,2025-06-06T16:49:19Z,,,,
FRALLEGO9002633,en_service,libre,2025-06-06T13:03:10Z,,,,
FRALLEGO9002631,en_service,libre,2025-06-06T16:14:43Z,,,,
FRALLEGO9002632,en_service,libre,2025-06-06T11:02:04Z,,,,
FRALLEGO9003332,en_service,occupe,2025-06-06T15:56:49Z,,,,
FRALLEGO9003331,en_service,libre,2025-06-06T15:26:32Z,,,,
FRALLEGO9990972,en_service,occupe,2025-06-06T16:43:05Z,,,,
FRALLEGO9990971,en_service,libre,2025-06-06T16:44:28Z,,,,
FRALLEGO9005401,en_service,occupe,2025-06-06T16:08:01Z,,,,
FRALLEGO9005402,en_service,occupe,2025-06-06T16:33:55Z,,,,
FRALLEGO9005521,en_service,libre,2025-06-06T16:32:09Z,,,,
FRALLEGO9005522,en_service,occupe,2025-06-06T16:32:54Z,,,,
FRALLEGO9003701,en_service,occupe,2025-06-06T16:30:56Z,,,,
FRALLEGO9003702,en_service,libre,2025-06-06T16:03:10Z,,,,
FRALLEGO9003472,en_service,libre,2025-06-06T16:09:37Z,,,,
FRALLEGO9003471,en_service,libre,2025-06-06T16:28:17Z,,,,
FRALLEGO9006272,en_service,occupe,2025-06-06T16:05:01Z,,,,
FRALLEGO9006271,en_service,occupe,2025-06-06T16:47:30Z,,,,
FRALLEGO9000301,en_service,libre,2025-06-06T12:50:27Z,,,,
FRALLEGO9000302,en_service,libre,2025-06-06T15:44:24Z,,,,
FRALLEGO9000222,en_service,libre,2025-06-06T12:20:21Z,,,,
FRALLEGO9002943,en_service,occupe,2025-06-05T19:05:42Z,,,,
FRALLEGO9006421,en_service,occupe,2025-06-06T16:55:55Z,,,,
FRALLEGO9000221,en_service,libre,2025-06-06T15:46:28Z,,,,
FRALLEGO9002941,en_service,occupe,2025-06-05T19:05:42Z,,,,
FRALLEGO9002942,en_service,occupe,2025-06-05T19:05:42Z,,,,
FRALLEGO9006422,en_service,occupe,2025-06-06T16:40:09Z,,,,
FRALLEGO8001701,en_service,occupe,2025-06-06T16:58:20Z,,,,
FRALLEGO8001702,en_service,libre,2025-06-06T14:44:20Z,,,,
FRALLEGO8000581,en_service,libre,2025-06-06T11:21:43Z,,,,
FRALLEGO8001691,en_service,libre,2025-06-06T16:41:02Z,,,,
FRALLEGO8001692,en_service,libre,2025-06-06T15:56:56Z,,,,
FRALLEGO0020222,en_service,libre,2025-06-06T11:24:51Z,,,,
FRALLEGO8000582,en_service,occupe,2025-06-06T16:41:54Z,,,,
FRALLEGO0020241,en_service,occupe,2025-06-06T15:50:19Z,,,,
FRALLEGO0020242,en_service,libre,2025-06-06T15:49:17Z,,,,
FRALLEGO0020221,en_service,occupe,2025-06-06T15:56:23Z,,,,
FRALLEGO0020251,en_service,libre,2025-06-05T19:05:14Z,,,,
FRALLEGO0020252,en_service,occupe,2025-06-05T19:05:14Z,,,,
FRALLEGO0000011,en_service,libre,2025-04-01T21:12:48Z,,,,
FRALLEGO0000031,en_service,occupe,2025-04-01T21:12:48Z,,,,
FRALLEGO0001491,en_service,libre,2025-04-01T21:12:48Z,,,,
FRALLEGO0001521,en_service,libre,2025-04-01T21:12:48Z,,,,
FRALLEGO9003181,en_service,libre,2025-06-06T15:48:59Z,,,,
FRALLEGO9003182,en_service,libre,2025-06-06T10:50:31Z,,,,
FRALLEGO9001902,en_service,libre,2025-06-06T13:33:01Z,,,,
FRALLEGO9001901,en_service,occupe,2025-06-06T16:12:06Z,,,,
FRALLEGO9002482,en_service,libre,2025-06-05T20:12:13Z,,,,
FRALLEGO9002481,en_service,libre,2025-06-06T16:45:56Z,,,,
FRALLEGO9002483,en_service,libre,2025-06-06T10:50:16Z,,,,
FRALLEGO9009861,en_service,libre,2025-06-06T15:04:40Z,,,,
FRALLEGO9009912,en_service,occupe,2025-06-06T16:16:15Z,,,,
FRALLEGO9009911,en_service,occupe,2025-06-06T16:58:05Z,,,,
FRALLEGO9009862,en_service,occupe,2025-06-06T16:49:25Z,,,,
FRALLEGO9000022,en_service,libre,2025-06-06T16:54:08Z,,,,
FRALLEGO9000021,en_service,occupe,2025-06-06T16:38:14Z,,,,
FRALLEGO9000042,en_service,occupe,2025-06-06T16:45:53Z,,,,
FRALLEGO9000041,en_service,libre,2025-06-06T16:58:23Z,,,,
FRALLEGO9002593,en_service,libre,2025-06-06T13:23:06Z,,,,
FRALLEGO9002592,en_service,libre,2025-06-05T19:05:17Z,,,,
FRALLEGO9002591,en_service,occupe,2025-06-06T16:23:34Z,,,,
FRALLEGO9007692,en_service,occupe,2025-06-06T15:55:03Z,,,,
FRALLEGO9007691,en_service,occupe,2025-06-06T15:56:00Z,,,,
